SURVYEAR	LFSSTAT	PROV	SEX	TENURE	UNION	HRLYEARN	EDUC	AGE
1997	Unemployed	QU	Female	NA	NA	NA	Some PS	30-44
1997	Employed,	ON	Female	212	Yes	21	Some PS	30-44
1997	Employed,	QU	Male	240	Yes	21.98	BA or More	45-59
1997	Employed,	QU	Female	182	Yes	17.8	HS Grad	30-44
1997	Employed,	ON	Female	179	No	23	BA or More	30-44
1997	Employed,	AL	Male	32	No	26.92	Some PS	30-44
1997	Employed,	QU	Male	240	Yes	31.32	BA or More	45-59
1997	Unemployed	QU	Male	NA	NA	NA	HS Dropout	30-44
1997	Employed,	QU	Female	240	Yes	12.97	HS Grad	30-44
1997	Employed,	AL	Male	17	NA	NA	HS Dropout	45-59
1997	Employed,	ON	Male	87	No	19.47	HS Grad	45-59
1997	Employed,	ON	Male	2	No	7	Some PS	15-29
1997	Employed,	QU	Male	10	No	6.7	Some PS	15-29
1997	Employed,	ON	Male	63	NA	NA	HS Grad	30-44
1997	Employed,	ON	Male	19	No	10	HS Grad	15-29
1997	Employed,	ON	Male	7	NA	NA	HS Grad	15-29
1997	Employed,	AL	Male	6	No	15	HS Grad	15-29
1997	Employed,	BC	Female	19	No	12	Some PS	45-59
1997	Employed,	ON	Male	2	No	13	HS Grad	30-44
1997	Employed,	ON	Male	9	No	13	HS Grad	15-29
1997	Employed,	BC	Female	41	NA	NA	HS Grad	30-44
1997	Employed,	QU	Male	64	NA	NA	Some PS	45-59
1997	Employed,	AL	Male	24	No	16.87	Some PS	15-29
1997	Employed,	QU	Female	171	Yes	15.78	BA or More	45-59
1997	Employed,	ON	Female	18	No	7.2	Some PS	15-29
1997	Employed,	ON	Female	79	NA	NA	HS Dropout	45-59
1997	Employed,	ON	Male	211	Yes	22	Some PS	45-59
1997	Employed,	ON	Male	117	Yes	22.44	Some PS	30-44
1997	Employed,	ON	Female	7	No	6.85	HS Dropout	15-29
1997	Employed,	QU	Female	240	Yes	11	Some PS	45-59
1997	Employed,	QU	Female	78	No	15	HS Grad	30-44
1997	Employed,	QU	Female	95	No	10	HS Grad	30-44
1997	Employed,	QU	Male	240	Yes	17.5	HS Dropout	30-44
1997	Employed,	AL	Female	199	NA	NA	Some PS	60+
1997	Employed,	ON	Male	132	NA	NA	Some PS	45-59
1997	Employed,	ON	Male	7	No	8.5	Some PS	15-29
1997	Employed,	QU	Male	30	No	9.65	HS Dropout	15-29
1997	Employed,	AL	Male	240	Yes	25	Some PS	45-59
1997	Employed,	BC	Male	31	Yes	24.04	BA or More	45-59
